customer_id,first_name,second_name,gender,state,occupation,customer_segment,annual_income,recency,frequency,monetary,R,F,M,RFM_Score,segment
C00001,Karan,Chopra,Male,West Bengal,Retired,SME,988416.79,37,15,122056.26,3,4,3,10,Champion
C00003,Krishna,Patel,Male,Telangana,Retired,Retail,378907.24,39,17,127238.61,3,4,3,10,Champion
C00005,Reyansh,Jain,Female,Gujarat,Freelancer,SME,775436.07,21,10,90014.18,4,3,3,10,Champion
C00006,Kiara,Kapoor,Female,Delhi,Business Owner,Corporate,1125600.83,159,10,61542.15,2,3,2,7,Potential Loyalist
C00008,Anika,Reddy,Female,Chandigarh,Salaried,Wealth,2553362.76,339,6,51829.35,1,1,2,4,At Risk
C00010,Vihaan,Desai,Female,Madhya Pradesh,Self Employed,Retail,531020.66,260,16,213951.68,1,4,4,9,Loyal
C00011,Rohan,Jain,Male,Uttar Pradesh,Business Owner,Corporate,1008279.67,469,4,49842.48,1,1,2,4,At Risk
C00013,Ayaan,Sharma,Male,Karnataka,Freelancer,Retail,492981.83,30,10,121603.32,4,3,3,10,Champion
C00014,Rohan,Jain,Male,Maharashtra,Retired,SME,364064.61,329,5,51500.06,1,1,2,4,At Risk
C00015,Vihaan,Bansal,Female,Maharashtra,Student,Corporate,1392806.14,37,12,43343.84,3,3,1,7,Potential Loyalist
C00016,Anaya,Gupta,Male,Rajasthan,Self Employed,Wealth,703854.09,135,8,52271.18,2,2,2,6,Potential Loyalist
C00017,Aditya,Kulkarni,Male,Kerala,Salaried,Retail,334054.67,2,12,155890.37,4,3,4,11,Champion
C00020,Vivaan,Kapoor,Female,Tamil Nadu,Retired,Corporate,532285.84,571,5,16796.11,1,1,1,3,Dormant
C00022,Krishna,Joshi,Female,Maharashtra,Self Employed,Premium,871361.57,5,8,69543.88,4,2,2,8,Loyal
C00023,Aditya,Sharma,Female,Gujarat,Retired,Retail,219918.01,169,14,88243.0,2,3,3,8,Loyal
C00026,Kabir,Reddy,Female,Kerala,Business Owner,Premium,1030550.11,3,14,157663.63,4,3,4,11,Champion
C00027,Pooja,Kulkarni,Female,Karnataka,Retired,Retail,527176.23,63,12,30569.15,3,3,1,7,Potential Loyalist
C00028,Arjun,Bansal,Male,Karnataka,Salaried,Retail,942408.66,414,5,39244.38,1,1,1,3,Dormant
C00029,Anika,Bansal,Male,West Bengal,Self Employed,Premium,1016104.21,204,6,74642.75,1,1,2,4,At Risk
C00030,Sneha,Gupta,Female,Haryana,Salaried,Corporate,1451862.1,7,11,119227.1,4,3,3,10,Champion
C00031,Aarav,Joshi,Female,Uttar Pradesh,Business Owner,Retail,634620.81,272,4,29892.28,1,1,1,3,Dormant
C00032,Anaya,Sharma,Male,Karnataka,Business Owner,Retail,1307245.08,4,11,128159.41,4,3,3,10,Champion
C00033,Kiara,Mishra,Male,Maharashtra,Student,Premium,402740.14,467,5,71050.83,1,1,2,4,At Risk
C00034,Rohan,Joshi,Female,Uttar Pradesh,Student,Retail,487546.33,96,14,89596.39,2,3,3,8,Loyal
C00035,Ishaan,Bansal,Female,Tamil Nadu,Student,SME,833024.78,299,5,22065.18,1,1,1,3,Dormant
C00036,Ishaan,Chopra,Male,Tamil Nadu,Business Owner,Retail,1188852.78,3,14,84599.21,4,3,3,10,Champion
C00038,Amit,Mehta,Female,Karnataka,Self Employed,Premium,338189.81,76,34,337314.99,3,4,4,11,Champion
C00040,Sneha,Agarwal,Female,Gujarat,Salaried,Retail,619269.81,52,3,35684.67,3,1,1,5,At Risk
C00041,Nisha,Kulkarni,Female,Uttar Pradesh,Retired,SME,3757116.78,68,15,141652.18,3,4,4,11,Champion
C00042,Amit,Agarwal,Female,Haryana,Freelancer,Corporate,1516903.12,48,18,235714.8,3,4,4,11,Champion
C00043,Anika,Patel,Male,Telangana,Self Employed,Retail,322344.59,110,4,31741.36,2,1,1,4,At Risk
C00045,Aarav,Desai,Female,Gujarat,Student,SME,928116.94,23,14,165358.07,4,3,4,11,Champion
C00046,Aadhya,Iyer,Female,Kerala,Freelancer,Retail,291697.23,9,19,125214.74,4,4,3,11,Champion
C00047,Aarav,Patel,Female,Rajasthan,Self Employed,Retail,351668.64,12,10,81557.04,4,3,3,10,Champion
C00049,Kabir,Verma,Male,Karnataka,Self Employed,Retail,845404.41,2,21,198745.14,4,4,4,12,Champion
C00050,Reyansh,Kulkarni,Female,Maharashtra,Business Owner,Retail,638385.4,26,20,266038.05,4,4,4,12,Champion
C00051,Aadhya,Chopra,Male,Chandigarh,Salaried,Retail,255276.49,52,16,60438.44,3,4,2,9,Loyal
C00052,Sneha,Kapoor,Male,Uttar Pradesh,Business Owner,Retail,1081639.83,30,7,92484.42,4,2,3,9,Loyal
C00053,Rahul,Jain,Male,Gujarat,Student,Retail,180000.0,157,21,103421.42,2,4,3,9,Loyal
C00055,Myra,Mehta,Female,Maharashtra,Retired,Retail,781299.24,344,4,56086.06,1,1,2,4,At Risk
C00056,Sneha,Reddy,Female,Gujarat,Business Owner,SME,423138.04,183,14,138255.84,2,3,4,9,Loyal
C00058,Sara,Malhotra,Female,Karnataka,Student,Premium,514425.13,11,12,79205.34,4,3,2,9,Loyal
C00059,Reyansh,Iyer,Male,Tamil Nadu,Freelancer,Retail,338830.41,205,10,54515.04,1,3,2,6,Potential Loyalist
C00060,Vihaan,Joshi,Female,Haryana,Self Employed,Retail,456991.91,11,10,124570.8,4,3,3,10,Champion
C00061,Arjun,Jain,Male,Haryana,Salaried,Retail,522504.42,101,13,129348.25,2,3,3,8,Loyal
C00062,Priya,Jain,Male,Tamil Nadu,Salaried,Retail,796165.73,209,11,109740.71,1,3,3,7,Potential Loyalist
C00063,Kiara,Mishra,Male,Madhya Pradesh,Retired,Premium,465170.56,81,9,44131.88,3,2,2,7,Potential Loyalist
C00064,Vivaan,Mishra,Male,Rajasthan,Self Employed,Premium,681543.65,39,2,16315.42,3,1,1,5,At Risk
C00065,Ayaan,Nair,Female,Uttar Pradesh,Freelancer,Retail,501264.92,13,21,203977.27,4,4,4,12,Champion
C00066,Karan,Joshi,Female,Karnataka,Salaried,Corporate,1378794.23,10,8,23426.9,4,2,1,7,Potential Loyalist
C00068,Vivaan,Bansal,Female,Tamil Nadu,Retired,Retail,439605.67,102,15,161304.53,2,4,4,10,Champion
C00069,Amit,Reddy,Male,Maharashtra,Self Employed,SME,2618761.78,9,38,441175.01,4,4,4,12,Champion
C00070,Sara,Patel,Female,Madhya Pradesh,Business Owner,Retail,551529.51,659,3,31585.86,1,1,1,3,Dormant
C00071,Ishaan,Chopra,Male,Tamil Nadu,Student,SME,366677.08,242,2,4514.68,1,1,1,3,Dormant
C00072,Aarav,Malhotra,Female,Tamil Nadu,Student,Wealth,1101678.3,256,12,207719.72,1,3,4,8,Loyal
C00074,Anika,Sharma,Female,Madhya Pradesh,Salaried,Premium,594522.4,13,18,146731.66,4,4,4,12,Champion
C00075,Ira,Reddy,Female,Karnataka,Student,SME,616037.83,96,13,70348.42,2,3,2,7,Potential Loyalist
C00076,Nisha,Singh,Male,Uttar Pradesh,Business Owner,Retail,993948.03,73,20,209985.78,3,4,4,11,Champion
C00077,Pari,Jain,Male,Tamil Nadu,Student,Retail,1643515.92,97,7,37483.25,2,2,1,5,At Risk
